##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
996,"Phaeosphaeria poagena MPI-PUGE-AT-0046c v1.0",Phapo1,1715242,34077024,12804,Y,Y,N,,"Mesny F et al.,2021","34893598"
997,"Chaetomidium fimeti CBS 168.71 v1.0",Chafi1,1854472,35321551,11448,Y,N,N,,,
998,"Alternaria rosae MPI-PUGE-AT-0040 v1.0",Altro1,1187941,33831682,12640,Y,Y,N,,"Mesny F et al.,2021","34893598"
999,"Macrophomina phaseolina MPI-SDFR-AT-0080 v1.0",Macpha1,35725,53641247,14845,Y,Y,N,,"Mesny F et al.,2021","34893598"
1000,"Suillus subalutaceus FC151 v1.0",Suisu1,48586,64971567,17080,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1001,"Mycena albidolilacea CBHHK002 v1.0",Mycalb1,1033008,126717228,36941,Y,N,N,,,
1002,"Russula ochroleuca P?ilba v1.0",Rusoch1,152965,44738512,12048,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1003,"Blumeria graminis f. sp. hordei Race1",BlugrR1_1,2867405,116475897,7239,Y,Y,N,,"Frantzeskakis L et al.,2018","29788921"
1004,"Blumeria graminis f. sp. hordei DH14",Blugr2,546991,124489486,7118,Y,Y,N,,"Frantzeskakis L et al.,2018","29788921"
1005,"Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0",Daces1,1079267,64663708,19198,Y,Y,N,,"Mesny F et al.,2021","34893598"
1006,"Neurospora crassa clade B FGSC 4830 v1.0",Neucr4830_1,5141,37056930,10586,Y,N,N,,,
1007,"Hyaloraphidium curvatum SAG235-1 v1.0",Hyacur1,82268,31926619,15197,Y,N,N,,,
1008,"Powellomyces hirtus BR81 v1.0",Powhir1,109895,29428253,9359,Y,N,N,,,
1009,"Halteromyces radiatus CBS 162.75 v1.0",Halrad1,101107,26215609,10175,Y,N,N,,,
1010,"Fusarium sp. FIESC 12 MPI-CAGE-AA-0113 v1.0",Fuseq1,5506,40328194,13580,Y,Y,N,,"Mesny F et al.,2021","34893598"
1011,"Fusarium solani FSSC 5 v1.0",Fusso1,169388,52932111,17656,Y,Y,N,,"Mesny F et al.,2021","34893598"
1012,"Botryozyma mucatilis CBS 9042 v1.0",Botmuc1,280465,21119431,5716,Y,N,N,,,
1013,"Zoophthora radicans ATCC 208865 v1.0",Zoorad1,42210,655199646,14479,Y,N,N,,,
1014,"Slooffia pilatii Y-17178 v1.0",Slopil1,106016,34802152,12822,Y,N,N,,,
1015,"Triparticalcar arcticum BR59 v1.0",Triarc1,1117335,31548172,10963,Y,N,N,,,
1016,"Suillus clintonianus FC179 v1.0",Suicli1,1904413,46838326,15530,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1017,"Suillus ampliporus FC55 v1.0",Suiamp1,1912932,58334580,16527,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1018,"Rhizopogon vulgaris FC72 v1.0",Rhivul1,36057,39902050,11905,Y,N,N,,,
1019,"Rhizopogon truncatus FC74 v1.0",Rhitru1,98235,38907862,11852,Y,N,N,,,
1020,"Rhodosporidium diobovatum 08-225 v1.0",Rhodia1_1,5288,21142622,7974,Y,N,N,,,
1021,"Hygrophoropsis aurantiaca ATCC 28755 v1.0",Hygaur1,72124,36975565,14285,Y,Y,N,,"Wu G et al.,2021","34767630"
1022,"Lophodermium nitens PLMe3-1-3 v1.0",Lopnit1_1,190466,74665558,19985,Y,N,N,,,
1023,"Melanops tulasnei CBS 116805 v1.0",Meltu1,371115,29236165,10192,Y,N,N,,,
1024,"Coniochaeta sp. 2T2.1 v1.0",Conioc1,1571157,74351065,24735,Y,Y,N,,"Mondo SJ et al.,N/D","31572496"
1025,"Fenestella fenestrata ATCC 66461 v1.0",Fenfe1,914049,32694302,11804,Y,N,N,,,
1026,"Coprinellus angulatus CBS 144469 v1.0",Copang1,980116,93565539,25937,Y,Y,N,,"Steindorff AS et al.,2021","33034064"
1027,"Morchella snyderi CBS 144464 v1.0",Morsny1,1174678,54771879,11100,Y,N,N,,,
1028,"Fusarium commune MPI-SDFR-AT-0072 v1.0",Fusco1,5506,48370669,15731,Y,Y,N,,"Mesny F et al.,2021","34893598"
1029,"Lasiosphaeris hispida CBS 955.72 v1.0",Lashi1,260671,48441159,14680,Y,N,N,,,
1030,"Podospora appendiculata CBS 314.62 v1.0",Podap1,314037,39954210,11955,Y,N,N,,,
1031,"Armillaria nabsnona CMW6904 v1.0",Armnab1,64368,62718798,19015,Y,N,N,,,
1032,"Veluticeps abietina OMC1657 v1.0",Velabi1,941530,43349316,13653,Y,N,N,,,
1033,"Anomoloma albolutescens OMC1655 v1.0",Anoalb1,693288,41350632,11099,Y,N,N,,,
1034,"Armillaria luteobubalina HWK02 v1.0",Armlut1,153913,97106278,20318,Y,N,N,,,
1035,"Armillaria ectypa FPL83.16 v1.0",Armect1,47430,40598130,12228,Y,N,N,,,
1036,"Fusarium oxysporum MPI-CAGE-CH-0212 v1.0",Fusoxys1,5507,55719217,17726,Y,Y,N,,"Mesny F et al.,2021","34893598"
1037,"Fusarium tricinctum MPI-SDFR-AT-0044 v1.0",Fustri1,61284,42232206,14043,Y,Y,N,,"Mesny F et al.,2021","34893598"
1038,"Fusarium tricinctum MPI-SDFR-AT-0068 v1.0",Fustr1,61284,43693088,14106,Y,Y,N,,"Mesny F et al.,2021","34893598"
1039,"Stomiopeltis betulae CBS114420 v1.0",Stobe1,706121,37547027,12707,Y,N,N,,,
1040,"Myxozyma melibiosi Phaff 52-87 v1.0",Myxme1,54550,15330035,6299,Y,N,N,,,
1041,"Pleospora avicennia ATCC 66911 v1.0",Pleav1,193131,40969476,11537,Y,N,N,,,
1042,"Fusarium venenatum MPI-CAGE-CH-0201 v1.0",Fusven1,56646,37452605,12845,Y,Y,N,,"Mesny F et al.,2021","34893598"
1043,"Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0",Dacma1,307937,77328613,21304,Y,Y,N,,"Mesny F et al.,2021","34893598"
1044,"Psilocybe serbica v1.0",Psiser1,797126,61285081,15481,Y,Y,N,,"Fricke J et al.,2017","28763571"
1045,"Helicostylum pulchrum RSA 2064 v1.0",Helpul1,562976,32727348,12794,Y,N,N,,,
1046,"Choanephora cucurbitarum NRRL2744 (50) v1.0",Chocucu1,101091,35108735,11534,Y,N,N,,,
1047,"Lactarius psammicola BPL869 v1.0",Lacpsa1,1907521,69824043,13442,Y,Y,N,,"Looney B et al.,2021","34861049"
1048,"Anomoporia myceliosa MJL 4413 v1.0",Anomyc1,693289,45712503,11797,Y,N,N,,,
1049,"Crepidotus cesatii CBS 511.95 v1.0",Creces1,110238,36042615,12891,Y,N,N,,,
1050,"Laxitextum bicolor CBS 258.73 v1.0",Laxbic1,68771,40781994,11418,Y,N,N,,,
1051,"Albatrellus peckianus DAOM 52321 v1.0",Albpec1,80572,48114380,15010,Y,N,N,,,
1052,"Rhizophagus cerebriforme DAOM 227022 v1.0",Rhice1_1,658196,136890557,21549,Y,Y,N,,"Morin E et al.,2019","30636349"
1053,"Gigaspora rosea v1.0",Gigro1,44941,567950182,31291,Y,Y,N,,"Morin E et al.,2019","30636349"
1054,"Rhizophagus diaphanus v1.0",Rhidi1,1348878,125876003,23252,Y,Y,N,,"Morin E et al.,2019","30636349"
1055,"Paecilomyces variotii CBS144490 HYG1 v1.0",Paevar_HGY_1,264951,32365222,9230,Y,Y,N,,"Urquhart AS et al.,N/D","30619145"
1056,"Blakeslea trispora F986 v1.0",Blatri_F986_2,4850,32322358,10672,Y,N,N,,,
1057,"Blakeslea trispora F921 v1.0",Blatri_F921_1,4850,33516133,11119,Y,N,N,,,
1058,"Phaeosolenia platensis CBS 268.64 v1.0",Phapla1,269161,59053793,16000,Y,N,N,,,
1059,"Chytriomyces hyalinus JEL632 v1.0",Chyhya1,4814,38103441,15516,Y,N,N,,,
1060,"Cristinia sonorae KKN 215 v1.0",Crison1,1940300,30130434,11356,Y,N,N,,,
1061,"Gorgonomyces haynaldii MP57 v1.0",Gorhay1,382530,13983420,7898,Y,N,N,,,
1062,"Geopyxis carbonaria CBS 144460 v1.0",Geocar1,49969,49454325,11663,Y,N,N,,,
1063,"Agrocybe praecox OKM6292 v1.0",Agrpra2,71668,46411657,12993,Y,N,N,,,
1064,"Piptocephalis tieghemiana RSA 1565 v1.0",Piptie1,1286916,18550337,5811,Y,N,N,,,
1065,"Myceliophthora similis CBS 632.67 v1.0",Corsim1,1403191,31812524,9392,Y,N,N,,,
1066,"Colletotrichum sp. CBS 101611",Colsp1,34409,62965231,17391,Y,N,N,,,
1067,"Colletotrichum tamarilloi CBS 129955",Colta1,1209934,52077224,17399,Y,N,N,,,
1068,"Colletotrichum costaricense IMI 309622",Colco1,1209916,51625248,17126,Y,N,N,,,
1069,"Colletotrichum chlorophyti NTL11",Colch1,708187,52387045,10310,Y,Y,N,,"Gan P et al.,2017","28280027"
1070,"Colletotrichum cuscutae IMI 304802",Colcu1,1209917,80453496,17289,Y,N,N,,,
1071,"Colletotrichum abscissum IMI 504890",Colab1,1671311,53936108,17280,Y,N,N,,,
1072,"Colletotrichum paranaense IMI 384185",Colpa1,1914294,49177916,16775,Y,N,N,,,
1073,"Colletotrichum melonis CBS 134730",Colme1,1209925,50135825,16823,Y,N,N,,,
1074,"Colletotrichum tofieldiae CBS 168.49",Coltof1,708197,52962735,16451,Y,N,N,,,
1075,"Colletotrichum orbiculare 104-T",Colorb1,5465,90086138,13348,Y,Y,N,,"Gan P et al.,2013","23252678"
1076,"Colletotrichum incanum MAFF 238712",Colin1,1573173,53254579,11852,Y,Y,N,,"Gan P et al.,2016","27189990"
1077,"Colletotrichum lupini IMI 504893",Collup1,145971,63407421,18324,Y,N,N,,,
1078,"Urocystis occulta CBS 102.71 v1.0",Uroocc1,1983702,18574243,6708,Y,N,N,,,
1079,"Dissophora ornata CBS 347.77 v1.0",Disorn1,979620,38942631,12584,Y,N,N,,,
1080,"Nia vibrissa CBS 119815 v1.0",Niavib1,155003,26355186,10400,Y,N,N,,,
1081,"Epithele typhae CBS 203.58 v1.0",Epityp1,378194,56143418,13759,Y,Y,N,,"Hage H et al.,2021","33538380"
1082,"Boliniaceae sp. AZ0804 v1.0",Cornip1,1907230,37032637,9820,Y,N,N,,,
1083,"Teichospora sp. FL1471 v1.0",Currey1,1907231,31665731,10955,Y,N,N,,,
1084,"Gloniopsis sp. FL0384 v1.0",Glonio1,1907235,35836257,12423,Y,N,N,,,
1085,"Lactarius hengduanensis 84 v1.0",Lachen1,1932122,61963203,15957,Y,N,N,,,
1086,"Lactarius hatsudake 109 v1.0",Lachat1,416442,95486030,16831,Y,N,N,,,
1087,"Lactarius sanguifluus B21 v1.0",Lacsan1,111137,86240450,17481,Y,N,N,,,
1088,"Lactarius deliciosus 48 v1.0",Lacdel1,55514,96043985,18193,Y,N,N,,,
1089,"Lactarius vividus 141 v1.0",Lacviv1,1740625,69041955,11612,Y,N,N,,,
1090,"Lactarius akahatsu QP v1.0",Lacaka1,416441,80299772,12853,Y,N,N,,,
1091,"Lactarius pseudohatsudake 88 v1.0",Lacpse1,1932123,99708583,20824,Y,N,N,,,
1092,"Cylindrocarpon olidum MPI-CAGE-CH-0241 v1.0",Cylol1,1576542,52862545,16645,Y,Y,N,,"Mesny F et al.,2021","34893598"
1093,"Ilyonectria sp. MPI-CAGE-AT-0134 v1.0",Neora1,1755430,71715727,22025,Y,Y,N,,"Mesny F et al.,2021","34893598"
1094,"Yarrowia lipolytica YB419 v1.0",YarliYB419,4952,20144947,6751,Y,Y,N,,"Walker C et al.,2018","30533660"
1095,"Yarrowia lipolytica YB420 v1.0",YarliYB420,4952,20196166,6772,Y,Y,N,,"Walker C et al.,2018","30533660"
1096,"Yarrowia lipolytica YB392 v1.0",YarliYB392,4952,20178742,6750,Y,Y,N,,"Walker C et al.,2018","30533660"
1097,"Yarrowia lipolytica YB567 v1.0",YarliYB567,4952,20268095,6776,Y,Y,N,,"Walker C et al.,2018","30533660"
1098,"Yarrowia lipolytica YB566 v1.0",YarliYB566,4952,20271681,6764,Y,Y,N,,"Walker C et al.,2018","30533660"
1099,"Tuber melanosporum Mel28 v1.2",Tubme1v2,656061,124945702,10058,Y,Y,N,,"Martin F et al.,2010~Murat C et al.,2018","20348908 30420746"
1100,"Pisolithus albus SI12 v1.0",Pisalb1,178870,87748750,17029,Y,N,N,,,
1101,"Pisolithus croceorrhizus subspA 74A v1.0",Piscro1,2060934,80714400,15799,Y,N,N,,,
1102,"Pisolithus marmoratus ssp. 2 16A v1.0",Pismar1,178871,122384764,21754,Y,N,N,,,
1103,"Pisolithus thermaeus 11 v1.0",Pisthe1,2136032,81921463,15712,Y,N,N,,,
1104,"Exophiala limosus JF 03-4F Slimy v1.0",EurotioJF034F_1,2486359,28227525,11358,Y,N,N,,,
1105,"Exophiala viscosium JF 03-3F Goopy v1.0",EurotioJF033F_1,2486360,28289675,11344,Y,N,N,,,
1106,"Rhodocollybia butyracea CCBAS 279 v1.0",Rhobu1,206335,78814333,19884,Y,N,N,,,
1107,"Suillus paluster FC165 v1.0",Suipal1,48578,61993750,16585,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1108,"Suillus lakei FC43 v1.0",Suilak1,48574,79746074,19384,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1109,"Suillus bovinus UH-Sbo-P2 v1.0",Suibov1,48563,47496138,13537,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1110,"Suillus occidentalis FC124 v1.0",Suiocc1,756607,57963537,16030,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1111,"Lentinula afn. lateritia sp 3 TMI1502 v1.0",Lenafn_TMI1502_1,40482,38884662,12462,Y,N,N,,,
1112,"Melampsora medusae f. sp. Deltoidae Mmd05TRE539 v1.0",Melmed1,82101,139726837,20491,Y,N,N,,,
1113,"Lentinula raphanica TFB9929 ss4 v1.0",Lenrap1_155,153919,40086852,14352,Y,N,N,,,
1114,"Melampsora americana R15-033-03 v1.0",Melame1,2182807,112350849,15984,Y,Y,N,,"Crowell CR et al.,2021","34579556"
1115,"Lentinula novae-zelandiae TMI-1172 v1.0",Lennov1,42442,35621183,12286,Y,N,N,,,
1116,"Armillaria tabescens CCBAS 213 v1.0",Armtab1,47431,74875987,19032,Y,N,N,,,
1117,"Boreostereum radiatum TFC1981-005 v1.0",Borrad1,103380,38735177,12283,Y,N,N,,,
1118,"Trichoderma atrobrunneum ITEM 908",Triatrob1,1491457,39149368,8637,Y,Y,N,,"Fanelli F et al.,2018","30200883"
1119,"Phoma multirostrata 7a v1.0",Phomu1,73003,33277225,12099,Y,N,N,,,
1120,"Galzinia incrustans CBS 104901 v1.0",Galinc1,202708,51415400,15855,Y,N,N,,,
1121,"Penicillium nordicum DAOMC 185683",Pennord1,229535,30844022,12959,Y,Y,N,,"Wingfield BD et al.,2015","26734552"
1122,"Dendrothele microspora FP 101998 v1.0",Denmi1,1124678,45655992,17356,Y,N,N,,,
1123,"Nectriopsis sporangicola NRRL 22127 v1.0",Necsp1,1155948,25479315,8044,Y,N,N,,,
1124,"Papiliotrema laurentii 5307AH v1.0",Papla1,5418,19510785,7537,Y,N,N,,,
1125,"Meripilus sumstinei FP 105329 v1.0",Mersum1,1940299,32757303,10348,Y,N,N,,,
1126,"Hericium coralloides FP-101451 v1.0",Hercor1,100756,35332148,12369,Y,N,N,,,
1127,"Benjaminiella poitrasii RSA 903 v1.0",Benpoi1,64631,32504669,11659,Y,N,N,,,
1128,"Phlebia radiata Fr. (isolate 79, FBCC0043)",Phlrad1,5308,40407200,14629,Y,Y,N,,"Kuuskeri J et al.,N/D","27602055"
1129,"Suillus variegatus UH-Sva-Z1 v1.0",Suivar1,48592,64862609,17072,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1130,"Echinodontium tinctorium Aho-80 v1.0",Echtin1,40440,40414111,12508,Y,N,N,,,
1131,"Aphanobasidium pseudotsugae OMC1630 v1.0",Aphpse1,693291,32195292,11120,Y,N,N,,,
1132,"Heterodoassansia hygrophilae CBS 346.65 v1.0",Hethyg1,2031139,25986125,7158,Y,N,N,,,
1133,"Flagelloscypha sp. PMI_526 v1.0",FlaPMI526_1,1485228,72728845,19929,Y,N,N,,,
1134,"Penicillium solitum IBT 30036 v1.0",Pensoli1,60172,31749581,11843,Y,N,N,,,
1135,"Sporobolomyces gracilis NRRL Y-5504 v1.0",Spogra1_1,5435,19998122,8038,Y,N,N,,,
1136,"Trichoderma guizhouense NJAU 4742",Trigui1,1491466,38329450,11255,Y,Y,N,,"Druzhinina IS et al.,2018","29630596"
1137,"Trichoderma parareesei CBS 125925",Tripar1,858221,32070663,9062,Y,Y,N,,"Yang D et al.,2015","26272569"
1138,"Hysterangium stoloniferum HS.BST v1.0",Hyssto1,150792,111842964,15017,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1139,"Melanogaster broomeianus MBLB.BST v1.0",Melbro1,2655010,49614189,14167,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1140,"Ceriporia viridans OMC1683 v1.0",Cervir1,40428,62630014,14481,Y,N,N,,,
1141,"Xylariales sp. AK1849 v1.0",Plecto1,1907220,39995810,12024,Y,Y,N,,"Franco MEE et al.,2021","34797921"
1142,"Pestalotiopsis sp. NC0098 v1.0",Pestal1,1907218,46406735,15180,Y,Y,N,,"Franco MEE et al.,2021","34797921"
1143,"Microdiplodia sp. AK1800 v1.0",Microd1,1907216,38428995,11559,Y,N,N,,,
1144,"Trichoderma longibrachiatum MK1 v1.0",Trilon1,5548,32342648,10046,Y,N,N,,,
1145,"Pichia kudriavzevii CBS573",Pickud1,4909,10812555,5140,Y,Y,N,,"Douglass AP et al.,2018","30024981"
1146,"Pyronema domesticum CBS 144463 v1.0",Pyrdom1,47205,58392066,11812,Y,N,N,,,
1147,"Jimgerdemannia lactiflua OSC166217",Jimlac1,324621,179670541,12651,Y,Y,N,,"Chang Y et al.,2019","30485448"
1148,"Endogone sp FLAS 59071",Endsp1,2012134,95552741,9569,Y,Y,N,,"Chang Y et al.,2019","30485448"
1149,"Jimgerdemannia flammicorona AD002",Jimfl_AD_1,994334,231316372,13838,Y,Y,N,,"Chang Y et al.,2019","30485448"
1150,"Jimgerdemannia flammicorona GMNB39",Jimfl_GMNB39_1,994334,239574967,13653,Y,Y,N,,"Chang Y et al.,2019","30485448"
1151,"Amylomyces rouxii NRRL 5866 v1.0",Amyrou1,29923,45703929,14619,Y,N,N,,,
1152,"Thelephora terrestris UH-Tt-Lm1  v1.0",Theter1,56493,40733037,13338,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1153,"Pisolithus croceorrhizus ssp. 2 72 v1.0",Pisthe227_1,2060934,76507182,15058,Y,N,N,,,
1154,"Cortinarius aff. campbellae TAS5-PSC4363 v1.0",Corcam1,2511838,76968950,17407,Y,N,N,,,
1155,"Sistotrema raduloides OMC1660 v1.0",Sisrad1,283657,53934495,12046,Y,N,N,,,
1156,"Valsariales sp. FL0756 v1.0",DelFL0756_1,1907232,36394561,11844,Y,N,N,,,
1157,"Chaetosphaeriaceae sp. FL1790 v1.0",CodFL1790_1,2185273,49247973,15615,Y,N,N,,,
1158,"Taphrina populi-salicis CBS419.54 v1.0",Tappo1,203085,13214580,6155,Y,N,N,,,
1159,"Ambrosiozyma philentoma NRRL Y-7523",Ambph1,43984,17710905,6975,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1160,"Peterozyma xylosa NRRL Y-12939",Petxy1,1337056,12957929,5982,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1161,"Citeromyces matritensis NRRL Y-2407",Citma1,36909,20321446,7868,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1162,"Nakazawaea wickerhamii NRRL Y-2563",Nakwi1,1538186,10857285,5490,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1163,"Candida boidinii NRRL Y-2332",Canbo1,5477,19278657,6230,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1164,"Elytroderma deformans CBS183.68 v1.0",Elyde1,128019,50483512,12886,Y,N,N,,,
1165,"Saccharomycopsis capsularis NRRL Y-17639",Sacca1,36036,17823225,6736,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1166,"Saturnispora dispora NRRL Y-1447",Satdi1,29835,10120266,4881,Y,Y,N,,"Krassowski T et al.,2018","29760453"
1167,"Lachnellula subtilissima CBS 196.66 v1.0",Lacsu1,602034,33858279,11875,Y,N,N,,,
1168,"Trichoderma atroviride B10 v1.0",Triatr1,63577,36332534,11909,Y,N,N,,,
1169,"Trichoderma atroviride F7 v1.0",Triatro1,63577,36520685,12001,Y,N,N,,,
1170,"Trichoderma atroviride P1 v1.0",Triatrov1,63577,37129917,12360,Y,N,N,,,
1171,"Conocybe apala SZMC-NL-8967 v1.0",Conapa1,229365,64080092,17284,Y,N,N,,,
1172,"Postia stiptica OMC1664 v1.0",Possti1,544579,62273033,14207,Y,N,N,,,
1173,"Lentinula raphanica TFB8682 v1.0",Lenra_T_1,153919,38978753,14961,Y,N,N,,,
1174,"Trichoderma harzianum T22 v1.0",TriharT22_1,5544,40378754,12762,Y,N,N,,,
1175,"Trichoderma harzianum M10 v1.0",TriharM10_1,5544,40484612,12842,Y,N,N,,,
1176,"Tirmania nivea G3 v1.0",Tirniv1,160517,63133441,10591,Y,Y,N,,"Miyauchi S et al.,2020~Marqués-Gálvez JE et al.,2021","33046698 33118170"
1177,"Russula seminuda PSC4341-TAS1 v1.0",Russem1,5402,42095537,10669,Y,N,N,,,
1178,"Xylaria flabelliformis NC1011 v1.0",Xylcub1,2512241,41613484,12391,Y,Y,N,,"Franco MEE et al.,2021","34797921"
1179,"Armillaria borealis FPL87.14 v1.0",Armbor1,47425,71689880,19984,Y,N,N,,,
1180,"Leptoporus mollis OMC1684 v1.0",Lepmol1,83243,53014723,12118,Y,N,N,,,
1181,"Suillus placidus DOB743 v1.0",Suipla1,48579,55323552,15123,Y,Y,N,,"Lofgren LA et al.,2021","33355923"
1182,"Boletus edulis P?ilba v1.0",Boledp1,36056,69185680,18123,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1183,"Boletus edulis BED1 v4.0",Boled5,1328754,66525535,18722,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1184,"Mucor mucedo NRRL 3635 v1.0",Mucmuc1,29922,46091836,14052,Y,N,N,,,
1185,"Fimicolochytrium jonesii JEL569 v1.0",Fimjon1,1396493,30619153,10067,Y,N,N,,,
1186,"Aspergillus carlsbadensis CBS 123894 v1.0",Aspcar1,1810906,39460077,14289,Y,N,N,,,
1187,"Aspergillus nomius IBT 12657 v1.0",Aspnom1,41061,36713177,12897,Y,Y,N,,"Kjærbølling I et al.,2020","32107379"
1188,"Aspergillus novoparasiticus CBS 126849 v1.0",Aspnovo1,986946,40857493,14182,Y,Y,N,,"Kjærbølling I et al.,2020","32107379"
1189,"Aspergillus parasiticus CBS 117618 v1.0",Asppar1,5067,38390758,13752,Y,Y,N,,"Kjærbølling I et al.,2020","32107379"
1190,"Aspergillus minisclerotigenes CBS 117635 v1.0",Aspmin1,656917,37064162,13415,Y,Y,N,,"Kjærbølling I et al.,2020","32107379"
1191,"Aspergillus egyptiacus CBS 656.73 v1.0",Aspegy1,41743,28335649,9890,Y,N,N,,,
1192,"Dacrymyces fennicus OMC1656 v1.0",Dactor1,2079947,35180536,12386,Y,N,N,,,
1193,"Issatchenkia orientalis ATCC PTA-6658 v2.0",Isori2,4909,23081982,4909,Y,N,N,,,
1194,"Amylocorticium subincarnatum OMC1654 v1.0",Amysub1,264088,45931636,10977,Y,N,N,,,
1195,"Issatchenkia orientalis ATCC 32196 v2.0",Issori2,4909,21860574,4941,Y,N,N,,,
1196,"Geastrum triplex GST.BST v1.0",Geatri1,90948,58565933,14309,Y,N,N,,,
1197,"Flavodon flavus 38 v1.0",Flafl1,559739,31510012,11282,Y,N,N,,,
1198,"Issatchenkia orientalis SD108 v2.0",Issorie2,4909,21693996,4925,Y,N,N,,,
1199,"Jahnula aquatica CBS 123560 v1.0",Jahaq1,435389,46563677,15525,Y,N,N,,,
1200,"Fusarium cucurbiticola FSSC 10 v1.0",FusspF10_1,2747963,42448309,12147,Y,N,N,,,
1201,"Fusarium oxysporum f. sp. pisi T415 v1.0",FusoxT415,5507,55839562,18001,Y,N,N,,,
1202,"Fusarium bataticola FSSC 23 v1.0",FusspF23_1,2747386,50406540,16777,Y,N,N,,,
1203,"Verticillium dahliae MPI-CAGE-AT-0001 v1.0",Verdah1,27337,40173071,12343,Y,Y,N,,"Mesny F et al.,2021","34893598"
1204,"Mytilinidiaceae sp. NC0267 v1.0",Lophiu1,1907213,33900907,12216,Y,N,N,,,
1205,"Myriangiaceae sp. NC1570 v1.0",Myrian1,1907217,24765939,9767,Y,N,N,,,
1206,"Cortinarius austrovenetus TL2843-KIS7R v1.0",Coraus1,742016,62325647,14941,Y,N,N,,,
1207,"Rhamphospora nymphaeae CBS 172.38 v1.0",Rhanym2_1,62645,46121050,7715,Y,N,N,,,
1208,"Trichoderma pleuroti TPhu1",Triple1,500994,38137656,10610,Y,Y,N,,"Marik T et al.,2017","28261948"
1209,"Trichoderma arundinaceum IBT 40837",Triaru1,490622,36872412,10473,Y,Y,N,,"Proctor RH et al.,2018","29649280"
1210,"Melampsora medusae f. sp. tremuloidae Mmt05Ida529 v1.0",Melme_tre1,82101,145187885,22850,Y,N,N,,,
1211,"Mucor lusitanicus (circinelloides) MU402 v1.0",Muccir1_3,29924,36817399,11843,Y,Y,N,,"Navarro-Mendoza MI et al.,2019","31679929"
1212,"Lyophyllum atratum CBS 144462 v1.0",Lyoat1,117065,64896558,15046,Y,Y,N,,"Steindorff AS et al.,2021","33034064"
1213,"Schizophyllum commune 223.1 v1.0",Schco2231_1,5334,37738624,13373,Y,N,N,,,
1214,"Schizophyllum commune 227.2 v1.0",Schco2272_1,5334,38027603,13398,Y,N,N,,,
1215,"Schizophyllum commune 227.1 v1.0",Schco2271_1,5334,38321158,13547,Y,N,N,,,
1216,"Schizophyllum commune 225.1 v1.0",Schco2251_1,5334,38250539,13533,Y,N,N,,,
1217,"Schizophyllum commune 207.1 v1.0",Schco2071_1,5334,36640288,13032,Y,N,N,,,
1218,"Zalerion varium MPI-CAGE-AT-0135 v1.0",Zalva1,394676,55609683,17759,Y,Y,N,,"Mesny F et al.,2021","34893598"
1219,"Chaetomium sp. MPI-CAGE-AT-0009 v1.0",Chame1,1769349,33768356,11326,Y,Y,N,,"Mesny F et al.,2021","34893598"
1220,"Pyronema omphalodes CBS 144459 v1.0",Pyrom1,337075,61002793,10940,Y,N,N,,,
1221,"Tricharina aff. praecox DOB1048 v1.0",Pezsub1,2572650,39925980,10389,Y,N,N,,,
1222,"Dacryonaema rufum OMC1653 v1.0",Dacruf1,2079950,53924387,15355,Y,N,N,,,
1223,"Crustoderma dryinum OMC1663 v1.0",Crudry1,1333630,72793219,17221,Y,N,N,,,
1224,"Radulomyces confluens OMC1631 v1.0",Radcon1,264109,43247665,15506,Y,N,N,,,
1225,"Porpomyces mucidus OMC1666 v1.0",Pormuc1,156595,35879897,11607,Y,N,N,,,
1226,"Phaeomoniellales  sp. NC0930 v1.0",ClaNC0930_1,1907227,39284845,13036,Y,N,N,,,
1227,"Penicillium sp. NC0857 v1.0",ThyNC0857_1,2185274,25598829,9624,Y,N,N,,,
1228,"Roridomyces roridus 9284 v1.0",Rorror1,1738132,91122911,26381,Y,N,N,,,
1229,"Mycena latifolia 10383 v1.0",Myclat1,1033247,148767387,37452,Y,N,N,,,
1230,"Geranomyces variabilis JEL559 v1.0",Gervar1,109894,23695997,9411,Y,N,N,,,
